cityName,country,lat,lng,temp,humidity,cloudiness,winds
miri,my,10.31,9.75,73.13,85,12,3.6
san jose,ph,15.79,120.99,80.15,92,8,2.71
mackenzie,ca,55.34,-123.09,60.8,26,40,9.17
gerash,ir,27.67,54.14,64.31,42,0,0.69
carnarvon,au,-30.97,22.13,24.89,71,0,3.04
rongcheng,cn,37.16,122.42,72.32,73,0,7.18
hobart,au,-42.88,147.33,44.6,87,20,11.41
samarai,pg,-10.62,150.67,78.17,100,92,16.8
dongsheng,cn,29.72,112.52,71.69,81,32,4.61
tres arroyos,ar,-38.38,-60.28,47.12,81,92,4.5
namatanai,pg,-3.66,152.44,81.59,100,20,3.38
vaini,to,15.34,74.49,74.57,94,88,4.61
yulara,au,-25.24,130.99,44.6,42,0,6.93
khlevnoye,ru,54.57,39.32,57.74,55,32,11.1
tumaco,co,1.8,-78.82,77.9,98,88,3.71
raton,us,36.9,-104.44,78.76,18,20,10.29
inhambane,mz,-23.87,35.38,69.89,100,0,7.96
viramgam,in,23.12,72.05,89.6,62,0,10.29
iskateley,ru,67.68,53.15,27.86,97,68,10.2
sur,om,22.57,59.53,84.2,95,0,13.78
east london,za,-33.02,27.91,69.35,100,0,3.94
port augusta,au,-32.49,137.76,44.6,75,0,4.7
general pico,ar,-35.66,-63.75,36.77,83,0,4.94
gat,ly,14.69,-16.54,69.98,92,0,4.94
srednekolymsk,ru,67.46,153.71,36.5,79,92,6.17
chokurdakh,ru,70.62,147.9,32.36,100,76,17.47
kavieng,pg,-2.57,150.8,82.22,100,68,6.73
golden,ca,51.3,-116.96,49.28,53,8,1.7
athy,ie,52.99,-6.98,56.39,87,75,5.82
hun,ly,50.34,4.87,57.61,93,0,1.12
benguela,ao,-12.58,13.4,73.67,100,8,0.81
kaitangata,nz,-46.28,169.85,33.44,78,8,7.18
beringovskiy,ru,63.05,179.32,35.15,92,92,23.06
thinadhoo,mv,0.53,72.93,84.02,100,92,16.24
harrison,us,39.26,-84.82,82.09,74,1,3.36
puerto el triunfo,sv,13.27,-88.55,73.4,88,20,10.29
valdez,ec,61.13,-146.35,60.8,51,75,17.22
westport,ie,53.8,-9.52,58.28,96,36,3.38
half moon bay,us,37.46,-122.43,88.38,19,5,10.29
tadine,nc,-21.55,167.88,76.82,92,0,4.72
montrose,us,-37.81,145.34,47.19,93,75,5.82
altay,cn,47.83,88.13,42.71,48,56,2.15
mar del plata,ar,-46.43,-67.52,23.72,100,0,3.71
macamic,ca,48.75,-79.0,66.2,25,40,13.87
priargunsk,ru,50.37,119.09,68.09,39,48,13.44
jalu,ly,29.03,21.55,75.56,31,8,11.21
tuktoyaktuk,ca,69.44,-133.03,41.85,99,75,11.41
lichinga,mz,-13.3,35.25,48.65,76,0,4.72
pokhara,np,28.21,83.99,57.65,72,0,3.15
atikokan,ca,48.76,-91.62,57.38,73,100,8.52
hermanus,za,-34.42,19.24,50.18,100,92,2.37
bambous virieux,mu,-20.34,57.76,73.4,73,40,10.29
rikitea,pf,-23.12,-134.97,77.45,100,20,22.28
nagato,jp,34.35,131.14,71.06,88,75,11.41
airai,pw,-8.93,125.41,71.33,78,0,2.15
zalantun,cn,48.0,122.72,77.0,47,24,4.94
magway,mm,20.15,94.92,75.02,98,56,10.09
ternate,id,14.29,120.72,82.4,78,75,4.16
zhanaozen,kz,43.35,52.85,49.28,41,0,11.65
tiksi,ru,71.64,128.87,32.9,94,36,3.71
sobolevo,ru,54.43,31.9,54.05,96,76,4.94
muslyumovo,ru,55.31,53.19,48.47,89,12,19.93
margate,za,-43.03,147.26,44.6,87,20,11.41
san patricio,mx,-26.98,-56.83,50.27,86,8,5.73
dongkan,cn,34.0,119.83,70.79,85,0,8.08
ballina,ie,54.11,-9.15,58.55,96,8,2.82
hithadhoo,mv,-0.6,73.08,82.85,100,92,13.11
kapaa,us,22.08,-159.32,77.61,78,75,16.11
kosa,ru,59.94,54.99,39.2,62,56,7.96
werda,bw,50.44,12.3,53.6,93,0,2.93
coari,br,-4.09,-63.14,75.65,93,48,2.71
ust-karsk,ru,52.71,118.82,60.89,83,76,6.06
carpentras,fr,44.06,5.05,63.52,93,0,3.36
bilibino,ru,68.06,166.44,41.09,73,88,4.38
kazachinskoye,ru,57.69,93.28,64.67,49,20,8.75
gorele,tr,41.03,39.0,66.2,77,75,4.7
severo-yeniseyskiy,ru,60.37,93.04,59.81,62,44,8.75
agua verde,mx,22.89,-105.97,89.6,52,5,13.87
tezu,in,27.93,96.16,68.27,81,36,1.36
cayenne,gf,4.94,-52.33,77.0,100,75,5.82
shenjiamen,cn,29.96,122.3,70.97,91,92,8.97
chuy,uy,-33.69,-53.46,53.87,99,100,20.49
raudeberg,no,61.99,5.14,57.2,87,0,1.12
darnah,ly,32.77,22.64,72.68,97,0,17.02
la ronge,ca,55.1,-105.3,46.4,87,90,3.15
nouadhibou,mr,20.93,-17.03,68.0,68,0,21.92
joson,ph,15.93,120.99,75.74,89,12,2.15
santa teresa,ph,10.26,-66.69,82.4,65,20,5.82
mega,et,4.06,38.32,63.95,93,100,2.93
charyshskoye,ru,51.4,83.56,60.8,97,92,10.2
manzhouli,cn,49.6,117.43,67.55,34,0,16.69
voghera,it,44.99,9.01,67.96,68,0,4.7
sarkand,kz,45.41,79.91,59.63,96,92,16.8
doha,qa,25.29,51.53,95.0,36,0,5.82
inirida,co,3.87,-67.92,76.55,91,64,1.92
aksu,cn,52.04,76.93,48.2,87,40,8.95
verkhoyansk,ru,67.55,133.39,39.65,65,48,4.27
floro,no,61.6,5.03,57.2,87,0,1.12
sivas,tr,39.75,37.01,42.8,100,0,1.12
poum,nc,41.28,20.71,52.79,97,8,1.81
bull savanna,jm,17.89,-77.59,80.24,68,44,5.95
savannah bight,hn,16.45,-85.85,83.48,96,80,19.04
moranbah,au,-22.0,148.04,58.91,49,0,8.41
moron,mn,10.49,-68.2,82.4,78,76,2.37
castro,cl,-42.48,-73.76,31.64,100,0,3.15
okhotsk,ru,59.36,143.24,54.77,56,8,9.31
shimoda,jp,34.7,138.93,71.6,78,20,9.17
coahuayana,mx,18.62,-100.35,84.47,41,44,2.26
panama city,us,30.16,-85.65,82.4,83,1,11.41
provideniya,ru,64.42,-173.23,33.89,91,92,24.52
solnechnyy,ru,50.72,136.64,76.28,63,0,3.71
cherskiy,ru,68.75,161.3,38.84,80,44,3.27
high level,ca,58.52,-117.13,53.6,87,75,3.36
hvide sande,dk,56.01,8.13,62.6,93,0,4.7
gizycko,pl,54.04,21.76,56.84,71,0,3.6
turochak,ru,52.26,87.12,65.39,49,48,5.06
milkovo,ru,41.53,24.68,60.8,72,8,5.82
lagoa,pt,37.14,-8.45,60.8,77,0,8.05
tuatapere,nz,-46.13,167.69,44.33,100,64,4.72
wamba,cd,2.14,27.99,68.27,98,24,3.15
alofi,nu,-19.06,-169.92,80.6,65,44,14.99
acapulco,mx,16.86,-99.88,84.2,66,90,6.96
puerto del rosario,es,28.5,-13.86,65.21,68,75,18.34
kingori,tz,-3.38,37.02,63.32,99,76,2.93
remedios,pa,22.5,-79.55,80.6,74,75,9.17
fourmies,fr,50.02,4.05,54.84,93,8,1.12
lovozero,ru,68.01,35.02,39.74,98,76,3.71
atbasar,kz,51.81,68.36,39.02,86,8,14.34
helong,cn,25.94,116.13,72.05,97,88,3.38
quatre cocos,mu,-20.21,57.76,73.4,73,40,10.29
saint-philippe,re,45.36,-73.48,73.87,28,1,13.87
kieta,pg,-6.22,155.63,81.23,100,48,4.38
berdigestyakh,ru,62.1,126.7,53.33,46,0,5.39
tilichiki,ru,60.47,166.1,39.38,86,88,14.9
abu kamal,sy,34.45,40.92,64.13,36,0,3.27
hirado,jp,33.32,129.49,69.8,88,75,9.17
port lincoln,au,-34.72,135.86,55.76,100,0,2.82
arraial do cabo,br,-22.97,-42.02,72.32,92,8,9.86
zarya,ru,45.67,39.64,55.04,38,0,9.42
kamenka,ru,53.19,44.05,58.1,55,0,14.45
nome,us,30.04,-94.42,87.8,62,1,12.75
umm lajj,sa,25.02,37.27,74.66,88,0,9.86
visby,se,57.64,18.3,69.8,49,32,11.41
labuhan,id,-2.54,115.51,75.2,90,76,2.82
okha,ru,53.59,142.95,59.09,49,76,11.99
arinos,br,-15.92,-46.11,64.85,61,32,6.62
mandalgovi,mn,45.76,106.27,49.73,48,0,13.0
berlevag,no,70.86,29.09,39.2,100,92,14.23
karratha,au,-20.74,116.85,68.09,37,36,11.88
hambantota,lk,6.12,81.12,78.26,100,68,16.24
la paz,mx,24.15,-110.32,91.4,22,40,9.17
najran,sa,17.54,44.22,80.6,44,0,6.93
quelimane,mz,-17.88,36.89,68.0,82,20,2.24
lebu,cl,8.96,38.73,52.79,97,76,2.71
gushikawa,jp,26.35,127.87,78.03,83,90,10.29
tutoia,br,-2.76,-42.27,77.36,94,48,7.4
kawhia,nz,-38.07,174.82,58.55,100,92,26.53
argentan,fr,48.74,-0.02,51.8,100,32,3.36
ulladulla,au,-35.36,150.48,57.2,76,90,14.99
manadhoo,mv,5.77,73.38,83.3,99,88,21.94
nanma,cn,35.7,113.14,70.97,39,8,3.6
leh,in,34.16,77.58,27.05,100,76,1.7
araouane,ml,18.9,-3.53,87.17,25,32,3.71
cape coast,gh,5.11,-1.24,76.19,91,20,4.61
wani,in,20.06,78.96,81.95,76,8,7.74
fuling,cn,29.71,107.39,67.82,88,48,3.38
grand gaube,mu,-20.01,57.66,73.4,73,40,10.29
the valley,ai,18.22,-63.06,80.67,78,20,11.41
esperance,au,10.24,-61.45,80.6,78,20,12.75
teya,ru,21.05,-89.07,73.4,94,90,9.17
ambulu,id,-8.35,113.61,75.47,100,20,4.38
aklavik,ca,68.22,-135.01,51.48,61,40,10.29
salalah,om,17.01,54.1,84.2,89,75,5.82
russell,nz,-33.01,-68.8,44.6,70,90,3.36
doba,td,8.66,16.85,74.03,94,24,2.93
sambava,mg,-14.27,50.17,75.74,100,56,19.71
yabrud,sy,33.97,36.66,64.4,63,0,11.41
vestmannaeyjar,is,63.44,-20.27,46.4,99,92,8.86
cascais,pt,38.7,-9.42,59.0,87,75,8.05
svetlogorsk,ru,53.14,59.15,42.8,70,90,20.13
vao,nc,59.1,26.19,59.09,58,0,7.63
dori,bf,14.03,-0.03,80.42,61,0,8.19
along,in,28.17,94.8,68.63,86,8,1.81
dali,cn,25.6,100.24,60.98,100,76,1.92
yenagoa,ng,4.92,6.26,76.1,93,36,4.61
leshukonskoye,ru,64.9,45.76,37.4,91,88,4.72
clyde river,ca,70.47,-68.59,30.2,92,90,13.87
belaya gora,ru,68.54,146.19,35.24,75,92,12.44
port hedland,au,-20.31,118.58,69.8,40,24,6.93
cidreira,br,-30.17,-50.22,53.6,88,8,15.23
kisangani,cd,0.52,25.21,74.57,97,56,2.15
barcelona,ve,41.38,2.18,64.4,82,75,2.24
ixtapa,mx,20.71,-105.21,86.0,74,20,14.99
paamiut,gl,61.99,-49.67,37.04,94,92,2.15
nanortalik,gl,60.14,-45.24,36.5,89,92,9.08
paka,my,45.29,18.06,66.2,88,0,3.36
vostok,ru,46.45,135.83,74.57,64,0,2.82
novolabinskaya,ru,45.11,39.9,48.2,76,0,6.71
kulu,tr,3.47,23.69,71.06,99,56,2.26
marsaxlokk,mt,35.84,14.54,71.6,83,0,5.82
hami,cn,42.84,93.51,63.77,38,0,6.62
kerema,pg,-7.96,145.78,72.77,100,100,1.59
ahipara,nz,-35.17,173.16,58.73,100,92,9.19
deer lake,ca,49.18,-57.43,41.0,86,90,16.11
ouadda,cf,8.07,22.4,69.8,96,88,2.82
batagay-alyta,ru,67.8,130.41,37.85,87,32,4.16
turayf,sa,31.68,38.65,69.8,32,0,9.17
belmonte,br,40.36,-7.35,51.62,91,8,2.71
luanda,ao,-8.83,13.24,73.4,88,20,4.7
nassau,bs,51.17,13.51,60.8,93,40,4.7
paragominas,br,-3.0,-47.35,76.01,92,44,3.27
ban tak,th,17.04,99.08,74.75,95,64,3.15
bafq,ir,31.6,55.4,68.27,23,0,3.15
lethem,gy,3.38,-59.8,75.92,92,24,5.61
cheney,us,47.49,-117.58,74.8,28,1,5.82
luderitz,na,-26.65,15.16,54.32,89,0,14.0
oktyabrskoye,ru,56.73,85.44,74.75,29,80,11.99
longyearbyen,sj,78.22,15.63,33.8,74,75,8.05
codrington,ag,-28.95,153.24,61.43,91,80,5.17
faanui,pf,-16.48,-151.75,80.42,100,0,6.06
arkhara,ru,49.42,130.09,75.92,61,88,5.95
pringsewu,id,-5.36,104.98,74.75,91,20,1.81
buraydah,sa,26.33,43.97,89.6,29,0,14.99
honningsvag,no,70.98,25.97,39.92,100,92,16.02
mahdalynivka,ua,48.92,34.92,51.8,71,0,4.47
panzhihua,cn,26.59,101.72,61.52,99,92,3.04
zaozerne,ua,51.37,23.94,64.31,73,80,3.6
armizonskoye,ru,55.95,67.67,43.07,77,68,13.78
muli,mv,22.62,71.45,81.77,81,0,11.99
rockland,us,42.13,-70.92,71.26,82,1,10.29
kruisfontein,za,-34.0,24.73,60.35,97,36,18.48
cabo san lucas,mx,22.89,-109.91,87.01,45,40,4.7
lubao,cd,14.94,120.6,80.13,94,75,4.7
bichura,ru,50.59,107.6,53.6,62,80,7.74
buenavista,co,4.36,-75.74,77.56,65,40,3.36
zyryanka,ru,65.73,150.89,37.4,66,88,9.75
sumbawanga,tz,-7.95,31.62,67.82,85,8,11.1
hokitika,nz,-42.72,170.96,54.5,89,8,10.42
curuca,br,-2.52,-61.06,82.67,74,0,3.38
avarua,ck,-21.21,-159.78,75.02,100,48,19.26
flin flon,ca,54.77,-101.88,46.4,87,90,5.82
ust-maya,ru,60.42,134.54,58.19,45,0,5.61
rudsar,ir,37.14,50.29,60.8,93,90,4.16
hervey bay,au,-25.3,152.85,61.43,100,0,6.96
marsa matruh,eg,31.35,27.25,73.4,83,75,10.29
quetta,pk,30.19,67.02,56.12,42,0,2.59
ancud,cl,-41.87,-73.83,34.97,84,0,5.84
hirara,jp,24.8,125.28,81.52,83,75,8.05
sept-iles,ca,50.2,-66.38,50.0,37,20,19.46
miram shah,pk,33.01,70.07,64.85,46,0,2.82
nynashamn,se,58.9,17.95,59.05,82,8,7.4
nuuk,gl,64.17,-51.74,30.2,92,90,6.93
awjilah,ly,29.14,21.3,78.17,31,0,12.33
gwadar,pk,25.12,62.33,83.3,97,56,7.96
fairbanks,us,64.84,-147.72,68.0,30,1,4.27
dzhebariki-khaya,ru,62.22,135.8,54.95,45,0,6.96
bosconia,co,9.97,-73.89,80.42,74,12,2.71
marzuq,ly,14.4,46.47,64.22,85,24,2.26
moree,au,-29.46,149.84,53.87,83,44,5.39
mayo,ca,63.59,-135.9,60.8,44,75,4.7
yar-sale,ru,66.83,70.83,30.47,98,56,5.84
manggar,id,-2.88,108.27,78.62,97,80,2.71
agucadoura,pt,41.43,-8.78,59.0,82,90,5.82
boa vista,br,2.82,-60.67,80.6,83,75,6.93
djougou,bj,9.71,1.67,76.19,94,12,6.85
katra,in,32.99,74.93,68.99,28,0,3.6
lasa,cn,34.92,32.53,68.99,88,20,8.05
agirish,ru,61.92,63.02,35.33,95,48,4.72
narsaq,gl,60.91,-46.05,42.8,93,90,2.24
dharchula,in,29.85,80.53,40.37,76,0,1.59
shelburne,ca,44.08,-80.2,68.56,49,1,5.82
buta,cd,2.79,24.73,73.22,97,32,2.26
launceston,au,-41.43,147.14,37.4,100,75,4.7
hamilton,bm,32.3,-64.78,78.8,83,75,18.34
port hardy,ca,50.7,-127.42,53.6,87,90,8.05
kargasok,ru,59.06,80.87,62.6,82,76,9.19
bilma,ne,18.69,12.92,75.38,25,0,2.71
biak,id,-0.91,122.88,77.45,100,76,3.71
aden,ye,12.79,45.03,85.19,100,0,1.59
lompoc,us,34.64,-120.46,75.76,30,1,11.41
klaksvik,fo,62.23,-6.59,46.4,93,8,5.82
waterloo,us,43.47,-80.52,69.51,60,1,12.75
petaluma,us,38.23,-122.64,92.86,37,1,5.82
sawakin,sd,19.1,37.33,84.2,54,0,6.93
dargaville,nz,-35.94,173.86,63.23,92,48,10.98
mecca,sa,21.43,39.83,91.4,22,0,3.04
pudozh,ru,61.81,36.54,53.15,51,88,5.5
redmond,us,47.67,-122.12,74.75,31,1,5.82
mount isa,au,-20.73,139.49,66.2,22,0,9.17
vila velha,br,-3.71,-38.6,80.6,83,0,4.7
mikun,ru,62.35,50.08,32.63,89,0,8.97
sovetskaya,ru,44.78,41.17,54.59,54,0,8.41
limoux,fr,43.05,2.22,64.4,88,0,5.82
vanimo,pg,-2.67,141.3,77.09,100,92,7.96
dicabisagan,ph,17.08,122.42,84.11,94,24,2.04
phonhong,la,18.5,102.42,78.8,94,75,2.24
tashla,ru,53.71,49.75,53.6,81,40,6.71
hofn,is,64.25,-15.21,50.72,82,0,6.17
dingzhou,cn,38.51,115.0,69.8,68,44,2.24
sekoma,bw,-24.51,23.93,55.04,52,36,5.5
jining,cn,35.41,116.58,75.65,71,0,9.53
guane,cu,22.2,-84.09,80.42,77,92,2.59
praia,cv,-20.25,-43.81,65.52,72,0,0.81
harper,lr,30.3,-99.24,95.92,30,1,8.05
kemi,fi,65.74,24.56,51.8,57,0,6.93
ust-tsilma,ru,65.44,52.15,31.28,84,0,5.39
vung tau,vn,10.35,107.08,75.2,100,90,4.7
touros,br,-5.2,-35.46,77.63,93,76,12.55
bangkalan,id,-7.05,112.74,80.15,95,64,6.17
naze,jp,5.43,7.07,75.2,100,40,5.84
winslow,us,51.94,-0.88,58.71,87,24,8.05
kholtoson,ru,50.3,103.31,48.92,66,0,3.6
predivinsk,ru,57.07,93.44,64.22,50,12,6.96
medina,ph,24.47,39.61,89.6,11,0,3.36
ashford,gb,51.43,-0.46,58.98,87,0,5.82
port hueneme,us,34.15,-119.2,73.27,68,1,11.41
bandar-e lengeh,ir,26.56,54.88,84.2,100,0,5.39
beidao,cn,34.57,105.89,53.6,93,100,5.95
dok kham tai,th,19.16,99.99,74.12,92,36,3.83
tourlaville,fr,49.64,-1.57,55.69,87,0,4.7
tianpeng,cn,28.88,112.34,69.62,100,80,4.27
iberia,pe,-11.41,-69.49,67.01,97,80,4.05
emirdag,tr,39.02,31.15,47.75,79,0,3.49
turukhansk,ru,65.8,87.96,44.6,74,92,17.81
jibert,ro,46.0,25.07,58.01,92,36,2.82
egvekinot,ru,66.32,-179.17,34.34,99,92,5.95
college,us,64.86,-147.8,68.0,30,1,4.27
kuching,my,1.56,110.34,75.2,94,75,7.63
triel-sur-seine,fr,48.98,2.01,59.99,93,0,3.38
mareeba,au,-16.99,145.42,73.4,53,20,9.17
sarangani,ph,5.4,125.46,83.21,100,44,16.91
luwingu,zm,-10.26,29.92,57.47,46,0,6.17
villacarrillo,es,38.12,-3.08,51.26,100,100,3.49
davila,ph,18.47,120.58,82.4,88,75,2.24
tessalit,ml,20.2,1.01,90.41,16,92,5.73
waraseoni,in,21.76,80.05,75.65,81,0,3.94
alekseyevsk,ru,57.84,108.35,46.85,87,80,4.61
north bend,us,43.41,-124.22,61.57,72,1,20.8
rzhaksa,ru,52.14,42.03,55.85,51,0,12.21
mogok,mm,22.92,96.51,67.19,99,92,1.92
bereda,so,43.27,-7.54,57.2,82,0,3.36
sajoszoged,hu,47.95,21.0,64.13,90,0,3.15
gunnedah,au,-30.98,150.25,59.0,62,40,5.82
vieux-habitants,gp,16.06,-61.77,80.6,74,8,6.93
el tigre,ve,8.89,-64.25,75.47,91,80,14.45
shetpe,kz,44.14,52.16,39.11,77,0,3.71
karasburg,na,-28.01,18.75,33.8,73,0,2.93
yumen,cn,40.29,97.04,54.05,56,12,7.18
sibu,my,2.29,111.83,75.2,94,75,3.36
mocuba,mz,-16.84,36.99,63.77,93,92,2.71
naryan-mar,ru,67.67,53.09,29.66,90,80,10.76
jos,ng,9.92,8.9,70.34,87,48,2.48
otane,nz,-39.89,176.62,49.82,100,92,9.98
wanlaweyn,so,2.62,44.89,75.56,83,64,7.63
sioux lookout,ca,50.1,-91.92,57.49,44,90,12.75
borogontsy,ru,62.67,131.17,59.27,34,0,4.5
turgoyak,ru,55.15,60.12,39.47,98,92,7.29
nortelandia,br,-14.45,-56.8,64.67,91,76,9.19
surgut,ru,61.25,73.4,41.0,100,40,4.47
bandarbeyla,so,9.49,50.81,80.69,80,0,26.53
heishan,cn,41.69,122.12,78.62,44,0,17.81
teshie,gh,5.58,-0.11,80.6,78,20,6.93
fort william,gb,56.82,-5.11,58.28,98,92,2.59
dhidhdhoo,mv,6.88,73.1,82.31,100,76,21.94
